R_ID,Name,Elinfo
740,mammal,unknownfragment
741,Artiodactyl,ribrib
742,bird,shaftlong bone
743,Dog,scapulascapula
744,Dog,metacarpalMetacarpal (4)
745,Dog,metatarsal or metacarpaMetacarpal or tarsal
746,Artiodactyl,ribrib
747,Dog,
748,mammal,shaftneedle
749,mammal,ribrib
750,Human,
751,mammal,unknownfragment
752,Quail,femurfemur
753,bird,unknownfragment
754,marine fish,spinedorsal spine
755,Brocket deer,
756,Mexican cottontail,Pelvis AcetabulumPelvis AcetabulumPelvis
757,mammal,shaftchisel?
758,mammal,unknownfragment
759,large bird,shaftlong bone
760,chicken?,scapulascapula
761,Slider turtle,carapace/plastroncarapace
762,Slider turtle,carapace/plastronPlastron
763,Tlachichi,
764,Artiodactyl,sacrumSacrum
765,Eastern cottontail,metatarsalmetatarsal (4)
766,Artiodactyl,Thoracic
767,small mammal,scapulascapula
768,Marine fish,ribrib
769,fish,cranialcranium
770,Cottontail,CervicalC3
771,small mammal,Thoracic
772,small mammal,ribrib
773,small mammal,shaftshort bone
774,mammal,unknownfragment
775,quail,Tibiatibiotarsus
776,quail,sternumsternum
777,quail,sternumsternum
778,Mud turtle,carapace/plastroncarapace- costal scute
779,White-tailed deer,
780,Artiodactyl,ribrib
781,Artiodactyl,ribrib 13
782,Artiodactyl,shaftlong bone
783,large mammal,shaftlong bone
784,mammal,unknownfragment
785,White-tailed deer,
786,White-tailed deer,phalanxmedial phalanx
787,White-tailed deer,phalanxdistal phalanx
788,Dog,
789,Hare,scapulascapula
790,Red-bellied squirrel,Humerus
791,Red-bellied squirrel,ulnaulna
792,Red-bellied squirrel,
793,small mammal,ribrib
794,mammal,unknownfragment
795,bird,coracoidcoracoid
796,Gallinule,metatarsaltarsometatarsus
797,Gallinule,coracoidcoracoid
798,Waterfowl,scapulascapula
799,Waterfowl,ulnaulna
800,Cooper’s Hawk,humerushumerus
801,Cooper’s Hawk,ulnaulna
802,Cooper’s Hawk,radiusradius
803,Cooper’s Hawk,metacarpalcarpometacarpus
804,Cooper’s Hawk,"phalanxDigit II, phalax 1"
805,White-tailed deer,
806,Artiodactyl,ribrib
807,Desert cottontail,
808,large mammal,otherossified costal cartilage
809,medium-large mammal,Vert NDepiphysis
810,Deer mouse,cranialcranium
811,mammal,unknownfragment
812,small-med bird,pelvispelvis
813,bird,unknownfragment
814,Dog,cranialmaxilla and palatine and dentition
815,Dog,metatarsalMetatarsal (3)
816,Dog,metatarsalMetatarsal (4)
817,Dog,LumbarL1
818,Dog,LumbarL2
819,Dog,cranialjugal
820,Dog,ribrib
821,Dog,ribrib
822,White-tailed deer,Humerus
823,White-tailed deer,
824,Artiodactyl,Thoracic
825,mammal,unknownfragment
826,cf turtle,carapace/plastroncf. Plastron
827,Waterfowl,metatarsaltarsometatarsus
828,bird,unknownfragment
829,Loberro,mandiblemandible + dentition
830,Mexican cottontail,Humerus
831,White-tailed deer,phalanxproximal phalanx
832,White-tailed deer,Humerus
833,small mammal,ribrib
834,medium-large mammal,Vert ND
835,mammal,unknownfragment
836,Human,
837,Slider turtle,carapace/plastroncarapace- marginal scute
838,Slider turtle,carapace/plastronplastron
839,Guajolote,humerushumerus
840,small mammal,ribRib
841,small mammal,ribrib
842,Rabbit/hare,ribRib
843,Desert cottontail,Humerus
844,Southern pocket gopher,toothincisor (inf)
845,mammal,unknownfragment
846,Human,cranium
