Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
153,MRD,29 VII 13,0.5,,0.2464,17,I20,Fourth below,,,3,,,,,"Debajo de 113 al W del muro W del cuarto 1, incluye muro posterior pegado al muro W",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
154,AGMR,29 VII 13,0.5,,0.23,17,J22,Fourth below,,,3,,,,,"Esquina NW de la unidad, incluyendo el Piso 1 y debajo de 57, igual al 68 y 151. Debajo de probable acceso tard’o del cuarto 1",Tierra limosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
155,DHS,29 VII 13,0.5,,0.22,17,I20,Second earliest,,,2,,,,,"Debajo de 135, interior del cuarto 1",Tierra arcillosa con arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
156,DHS,29 VII 13,0.5,,0.29,17,I21,Second earliest,,,2,,,,,"Debajo de 133, interior del cuarto 1",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno arenoso,X
157,AGMR,29 VII 13,0.5,,0.36,17,J21,Second earliest,,,2,,,,,Debajo de 131 al N (ext.) del muro N del cuarto 1,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
158,MRD,29 VII 13,0.5,,0.094,17,H20,Second earliest,,,2,,,,,Debajo de 139 al W del muro W (ext.) del cuarto 3,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
159,DHS,29 VII 13,0.5,,0.11,17,J20,Second earliest,,,2,,,,,"Debajo de 134, esquina NW interior del cuarto 1",Tierra arcillosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
160,DHS,29 VII 13,0.5,,0.15,17,J21,Second earliest,,,2,,,,,"Debajo de 20, interior del cuarto 1, al S del muro N",Tierra arcillosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
161,AGMR,29 VII 13,0.5,,0.051,17,J20,Fourth below,,,3,,,,,Debajo de 108 al N (ext.) del muro N del cuarto 1,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno arenoso,
162,MRD,29 VII 13,0.5,,0.1266,17,H20,Earliest layers sobre tepetate,1790,25,1,,,,,"Debajo de 158, W del muro W",Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
163,MRD,29 VII 13,0.5,,0.1596,17,I20,Second earliest,,,2,,,,,Debajo de 153 al W (ext.) del muro W del cuarto 1,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
164,AGMR,30 VII 13,0.5,,0.232,17,K20,Second earliest,,,2,,,,,"Debajo de 116, lado E del muro",Tierra arenosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
165,AGMR,30 VII 13,0.5,,0.108,17,H22,First capa,,,6,,,,,"Igual que 140, debajo de 81, lado S",Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
166,DHS,30 VII 13,0.5,,1.52,17,K22,Second earliest,,,2,,,,,Debajo de 127,Tierra limosa medio compactada. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
167,MRD,30 VII 13,0.5,,0.872,17,I19,Fourth below,,,3,,,,,Debajo de 143,Tierra compactada laminada. Munsell 10YR 4/2,Debajo del Piso 1. Relleno compactado con posibles apisonados.,
168,AGMR,30 VII 13,0.5,,0.027,17,H22,Third capa below surface,,,4,,Elemento 9,,,"Debajo de 140, 141 y 165, dentro del drenaje",Tierra limosa. Munsell 10YR 5/2,Relleno dentro de drenaje,X
169,AGMR,30 VII 13,0.5,,0.007,17,G22,Other lowest,,,1,,Elemento 9,,,"Debajo de 150, dentro del drenaje",Tierra limosa. Munsell 10YR 5/2,Relleno dentro de drenaje,X
170,AGMR,30 VII 13,0.5,,0.0454,17,H22,Third capa below surface,,,4,,Elemento 5,,,Debajo de 98,Tierra limosa. Munsell 10YR 5/2,Relleno,
171,DMC/AGMR,30 VII 13,0.5,,0.33,17,I21,Earliest layers sobre tepetate,,,1,,Elemento 10,,,Debajo de 156,Tierra limosa y relleno con arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
172,AGMR/MST,30 VII 13,0.5,,0.11,17,I21,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 156, misma profundidad que 171 y 173, esquina SE",Tierra suelta limosa y arcillosa. Munsell 10YR 5/2,Muestra de tierra,
173,AGMR,30 VII 13,0.5,,0.08,17,I21,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 156, misma profundidad que 171, esquina SE",Tierra suelta limosa y arcillosa. Munsell 10YR 5/2,"Nœcleo de construcci—n, primera ocupaci—n sobre el tepetate",
174,MRD,31 VII 13,0.5,,0.1932,17,I20,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 163, W del muro",Tierra suelta arcillosa. Munsell 10YR 4/2,Relleno,
175,MRD,31 VII 13,0.5,,0.079,17,I20,Earliest layers sobre tepetate,1690,15,1,,Elemento 11,,,Debajo de 163 y 174 al S de la unidad,Tierra suelta arcillosa con hueso. Munsell 10YR 4/2,Entierro humano sobre el tepetate,
176,AGMR,31 VII 13,0.5,,0.185,17,I20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 155 al interior del cuarto 1,Tierra arcillosa con arena. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
177,AGMR,31 VII 13,0.5,,0.48,17,K20,Second earliest,,,2,,,,,"Debajo de 119, lado E del muro",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
178,AGMR,31 VII 13,0.5,,0.224,17,J20,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 118, lado E del muro",Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
179,DHS,31 VII 13,0.5,,1.36,17,K21,Second earliest,1685,20,2,,,,,Debajo de 122,Tierra limosa medio compactada. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
180,MRD,31 VII 13,0.5,,0.512,17,I19,Fourth below,1690,20,3,,,,,Debajo de 136 y 143,Tierra compactada y relleno. Munsell 10YR 4/3,Relleno compactado con posible apisonado,
181,DHS,31 VII 13,0.5,,0.09,17,K21,Earliest layers sobre tepetate,1710,25,1,,Elemento 12,,,"Debajo de 179, en tepetate al W",Tierra limosa medio compactada. Munsell 10YR 5/2,Depresi—n antropogŽnica en tepetate poco profundo con hueso peque–o disarticulado,X
